,id,nama_lengkap,NIK,alamat,no_hp,email,riwayat_penyakit,obat_dikonsumsi
0,1,Rina Gunawan,1530105808258884,"Jl. Pahlawan No. 66, Palembang",-081036824370,rinagunawan@email.com,Asma,Ibuprofen
1,2,Rina Pratama,6133313107867502,"Jl. Merdeka No. 84, Palembang",62-861-06103981,rinapratama@email.com,Jantung,Salbutamol
2,3,Joko Gunawan,6289913001869517,"Jl. Gatot Subroto No. 38, Medan",62816-5143-865,jokogunawan@email.com,Maag,Furosemide
3,4,Eko Rahman,6469040909168210,"Jl. Ahmad Yani No. 22, Bogor",-811-2804-52483,ekorahman@email.com,Asma,Amlodipine
4,5,Tini Aminah,3336877105655209,"Jl. Pattimura No. 9, Depok",62-08605785-8552,tiniaminah@email.com,Kolesterol,Metformin
5,6,Andi Wijaya,9162486701160436,"Jl. Pahlawan No. 5, Palembang",-8140734-584,andiwijaya@email.com,Hipertensi,Amlodipine
6,7,Eko Gunawan,5383547111728816,"Jl. Diponegoro No. 42, Jakarta",+620883-9634-23,ekogunawan@email.com,Maag,Ranitidin
7,8,Joko Pratama,8103433108949412,"Jl. Gatot Subroto No. 58, Semarang",6208936488-0559,jokopratama@email.com,Stroke,Ranitidin
8,9,Hendra Hidayat,9114471606897942,"Jl. Ahmad Yani No. 22, Makassar",+620892-7435-89,hendrahidayat@email.com,Stroke,Ranitidin
9,10,Tini Hidayat,5366363111145974,"Jl. Gatot Subroto No. 97, Bandung",62-0891-5811-450,tinihidayat@email.com,Migren,Simvastatin
10,11,Andi Wijaya,5261953102401938,"Jl. Pahlawan No. 22, Bandung",+62-831-004954604,andiwijaya@email.com,Gagal ginjal,Metformin
11,12,Hendra Hidayat,2167705006005691,"Jl. Raya Bogor No. 67, Surabaya",-08528911-16250,hendrahidayat@email.com,Maag,Omeprazole
12,13,Rina Hidayat,9290952111678842,"Jl. Ahmad Yani No. 99, Semarang",+620871-1733-677,rinahidayat@email.com,TBC,Paracetamol
13,14,Siti Putri,1690956804973205,"Jl. Raya Bogor No. 31, Yogyakarta",0895-4101-29843,sitiputri@email.com,Maag,Simvastatin
14,15,Budi Sari,7125743101849047,"Jl. Thamrin No. 90, Semarang",834-9393-69628,budisari@email.com,Kolesterol,Omeprazole
15,16,Andi Putri,3125887011436372,"Jl. Ahmad Yani No. 87, Bogor",+62868-250223,andiputri@email.com,Migren,Simvastatin
16,17,Rina Aminah,1809962708712055,"Jl. Merdeka No. 26, Surabaya",-0886-7085809,rinaaminah@email.com,Diabetes,Omeprazole
